"startYear","titleType","count(*)"
2000,"movie",4931
2000,"tvSeries",2614
2000,"tvMovie",2298
2001,"movie",5267
2001,"tvMovie",2476
2001,"tvSeries",2944
2002,"tvMovie",2502
2002,"movie",5496
2002,"tvSeries",3026
2003,"tvMovie",2816
2003,"tvSeries",3402
2003,"movie",5573
2004,"tvSeries",3536
2004,"movie",6216
2004,"tvMovie",2956
2005,"tvSeries",4073
2005,"movie",7053
2005,"tvMovie",3164
2006,"tvSeries",4623
2006,"movie",7574
2006,"tvMovie",3255
2007,"tvMovie",3527
2007,"movie",8248
2007,"tvSeries",4899
2008,"tvMovie",3071
2008,"movie",9637
2008,"tvSeries",5081
2009,"movie",11243
2009,"tvSeries",5454
2009,"tvMovie",3167
2010,"tvMovie",2954
2010,"tvSeries",6052
2010,"movie",12098
2011,"movie",13098
2011,"tvMovie",3187
2011,"tvSeries",7403
2012,"movie",14094
2012,"tvMovie",3274
2012,"tvSeries",8131
2013,"movie",14917
2013,"tvMovie",3130
2013,"tvSeries",8424
2014,"tvSeries",8687
2014,"tvMovie",3150
2014,"movie",15941
2015,"movie",16576
2015,"tvSeries",9306
2015,"tvMovie",3513
2016,"movie",17740
2016,"tvSeries",9264
2016,"tvMovie",3639
2017,"tvSeries",9074
2017,"movie",18061
2017,"tvMovie",3325
2018,"tvSeries",8475
2018,"tvMovie",3016
2018,"movie",17460
2019,"tvSeries",6937
2019,"tvMovie",2424
2019,"movie",15468
