nconst,count,rating,votes,name
nm0801728,1,8.7,1408790,Stephen Sinclair
nm0538320,1,8.5,1122466,Alan Mak
nm1793993,1,8.5,1113258,Christopher Priest
nm0634300,6,8.37,7231224,Jonathan Nolan
nm0067789,1,8.2,1092028,Jordan Belfort
nm0714114,4,7.8,1825280,Jim Reardon
nm2441763,3,7.8,1012655,Cressida Cowell
nm5037683,2,7.8,1522862,Andy Lanning
nm0909638,9,7.71,6927702,Fran Walsh
nm0101991,9,7.71,6927702,Philippa Boyens
nm0866058,8,7.59,6311857,J.R.R. Tolkien
nm0460141,9,7.58,4340928,Steve Kloves
nm1578335,7,7.57,3616732,Michael Arndt
nm0565026,5,7.56,1020098,Anthony McCarten
nm0798788,4,7.55,1316881,Scott Silver
nm0746830,10,7.54,4796612,J.K. Rowling
nm4160687,2,7.45,1226373,Jim Starlin
nm0800209,4,7.43,2723328,Joe Simon
nm1212331,5,7.42,1880645,Dennis Lehane
nm0291905,2,7.4,1422501,David Franzoni
nm0604948,10,7.4,1431535,Peter Morgan
nm0001410,2,7.4,1088445,Lawrence Kasdan
nm0524924,5,7.38,1967832,Robert Ludlum
nm0815070,4,7.38,1179052,Aaron Sorkin
nm0938684,5,7.36,2772909,Jay Wolpert
nm0677037,5,7.36,1895666,Bob Peterson
nm0442109,4,7.35,1125483,Charlie Kaufman
nm0353673,6,7.35,1853359,Paul Haggis
nm1293367,4,7.35,2478204,Larry Lieber
nm0629933,7,7.34,1993278,William Nicholson
nm1733301,3,7.33,1294927,Dave Gibbons
nm1206844,3,7.33,1648910,Drew Goddard
nm0415425,5,7.3,1766865,Rick Jaffa
nm0798646,5,7.3,1766865,Amanda Silver
nm0498834,3,7.27,1059897,Meg LeFauve
nm1273099,5,7.24,1426949,Erik Sommers
nm0001873,8,7.24,2246111,Steven Zaillian
nm0825308,5,7.18,1162023,William Steig
nm2270979,3,7.17,1508750,Nicole Perlman
nm0001220,4,7.15,1727074,Ian Fleming
nm0963359,10,7.15,3230785,Jane Goldman
nm1321655,12,7.15,4907094,Christopher Markus
nm1321656,12,7.15,4907094,Stephen McFeely
nm0312367,5,7.12,1644536,Bruce Geller
nm1411347,2,7.1,1408841,Don Heck
nm0064479,11,7.08,2021130,Simon Beaufoy
nm1184258,5,7.08,1733158,William Monahan
nm0517589,15,7.08,4308155,John Logan
nm0099541,4,7.07,1301367,Pierre Boulle
nm3966115,3,7.07,1528465,Dan Abnett
nm0744839,7,7.04,1360298,Eric Roth
nm2092839,5,7.04,1920316,Mark Millar
nm0571344,6,7.03,1448745,Chris McKenna
nm1510800,3,7.03,1180470,Drew Pearce
nm0291082,6,7.0,1785662,Scott Frank
nm0744429,14,6.99,4452020,Terry Rossio
nm0495378,6,6.98,1082068,Charles Leavitt
nm0006904,9,6.98,2343847,Tony Gilroy
nm0371684,4,6.98,1652368,David Hayter
nm0868219,5,6.96,1856813,Guillermo del Toro
nm2354099,7,6.96,1184265,Scott Neustadter
nm2352210,7,6.96,1184265,Michael H. Weber
nm0333060,9,6.96,6802167,David S. Goyer
nm1125275,7,6.94,1392786,David Benioff
nm1996352,7,6.94,1038226,Matthew Michael Carnahan
nm1116660,7,6.94,2343514,Paul Wernick
nm0254645,14,6.94,4343720,Ted Elliott
nm0721675,3,6.93,1086181,David Reynolds
nm0456158,17,6.92,8487138,Jack Kirby
nm0338169,5,6.9,1706984,Michael Green
nm0833089,5,6.88,1720672,J. Michael Straczynski
nm0064181,11,6.87,3780455,Stuart Beattie
nm0045209,5,6.86,1361355,Michael Bacall
nm0425138,4,6.85,1299035,George Clayton Johnson
nm0751207,4,6.85,1299035,Jack Golden Russell
nm0006516,4,6.85,1763267,Chris Terrio
nm0498278,26,6.83,12131181,Stan Lee
nm0307497,6,6.83,1171832,Alex Garland
nm1417242,4,6.82,1155546,Sheldon Turner
nm0511541,5,6.82,1943647,Damon Lindelof
nm0649460,11,6.82,3530946,Roberto Orci
nm0115310,6,6.82,1217875,William Broyles Jr.
nm0001338,7,6.81,1348404,Brian Helgeland
nm0903456,5,6.78,1053040,Cyrus Voris
nm1002424,3,6.77,1134381,Michael Dougherty
nm0941314,7,6.76,1261474,Linda Woolverton
nm0476064,9,6.76,3272910,Alex Kurtzman
nm1014201,8,6.75,2344214,Rhett Reese
nm0622288,8,6.75,2430313,Jeff Nathanson
nm1000113,4,6.75,1016501,Etan Cohen
nm0426500,4,6.75,1208165,Kurt Johnstad
nm1994243,6,6.73,1075512,Scott Z. Burns
nm0004170,15,6.72,6358813,Bob Kane
nm0817023,10,6.71,1282552,Nicholas Sparks
nm1318843,5,6.7,1542209,Mark Fergus
nm0185976,5,6.7,1105671,Peter Craig
nm0712753,9,6.7,1705944,Billy Ray
nm0701031,9,6.66,2377899,Neal Purvis
nm0905498,9,6.66,2377899,Robert Wade
nm0672015,8,6.65,3127968,Zak Penn
nm0125336,8,6.64,1346101,Jez Butterworth
nm0123666,8,6.64,1025843,Mark Burton
nm0001140,9,6.63,1507566,Philip K. Dick
nm0558577,3,6.63,1030400,Richard Matheson
nm1557594,8,6.62,1705818,Dan Fogelman
nm1319757,6,6.62,1549892,Hawk Ostby
nm0277730,6,6.62,1376463,Bill Finger
nm0717550,6,6.62,1055681,Ethan Reiff
nm0765091,3,6.6,1094274,Alvin Sargent
nm1010540,3,6.6,1139953,Terence Winter
nm0093560,12,6.59,2206065,Mark Bomback
nm0860155,10,6.58,2380121,Gary Scott Thompson
nm0326246,5,6.58,1185005,Jonathan Goldstein
nm0197855,5,6.58,1185005,John Francis Daley
nm0734472,7,6.57,1307281,Gene Roddenberry
nm1005420,3,6.57,1370222,Ashley Miller
nm0041864,9,6.56,1896443,John August
nm2081046,7,6.54,1554605,Derek Connolly
nm0228908,7,6.54,1059533,Leslie Dixon
nm0604555,12,6.54,2442951,Chris Morgan
nm0436164,6,6.53,1745783,Laeta Kalogridis
nm0003529,4,6.52,1143385,Dan Harris
nm0228492,10,6.52,3019466,Steve Ditko
nm0003160,5,6.52,1293077,Christopher McQuarrie
nm0309691,8,6.51,1268823,John Gatins
nm1079776,5,6.5,1083081,George Nolfi
nm4401003,5,6.5,1064137,Derek Kolstad
nm1056741,5,6.48,2063799,Suzanne Collins
nm0830294,4,6.48,1095774,Joe Stillman
nm1236653,3,6.47,1118521,Christopher L. Yost
nm0934483,6,6.47,1064617,Kurt Wimmer
nm0159039,16,6.44,1285161,Felix Chong
nm0000184,10,6.42,2863236,George Lucas
nm0003298,8,6.41,1167171,Scott Rosenberg
nm0326040,11,6.41,3335073,Akiva Goldsman
nm0565092,5,6.38,1124382,Cormac McCarthy
nm0698873,5,6.36,1619403,Mark Protosevich
nm3123612,5,6.36,1653410,Jon Spaihts
nm1898234,11,6.34,1325999,John Morris
nm0888743,10,6.33,2073010,James Vanderbilt
nm0204030,9,6.32,1097843,William Davies
nm0921013,9,6.32,1295994,Richard Wenk
nm1698571,9,6.32,1500738,Evan Goldberg
nm0945026,5,6.32,1089318,Boaz Yakin
nm0684374,6,6.32,1310976,Jeff Pinkner
nm1334526,9,6.31,3133495,Simon Kinberg
nm0462895,10,6.29,2489902,David Koepp
nm0024925,8,6.29,1080924,Hossein Amini
nm2104063,7,6.26,1252426,Eric Heisserer
nm0436543,13,6.24,2042109,Robert Mark Kamen
nm0280234,3,6.23,1009585,F. Scott Fitzgerald
nm1615610,12,6.23,1007782,Allan Loeb
nm0035905,7,6.21,1127171,Scot Armstrong
nm0826714,4,6.2,1385873,Zack Stentz
nm0666791,11,6.19,1456185,Cinco Paul
nm0202425,11,6.19,1456185,Ken Daurio
nm0000341,4,6.18,1140722,Michael Crichton
nm0588340,3,6.17,1065014,Frank Miller
nm0668309,4,6.15,1582591,Don Payne
nm0857620,4,6.15,1184095,Justin Theroux
nm0405190,6,6.13,1089500,Marc Hyman
nm0008743,9,6.12,1098780,Jonathan Aibel
nm0074184,9,6.12,1098780,Glenn Berger
nm0940790,7,6.11,1351564,Skip Woods
nm0796950,9,6.11,1954136,Jerry Siegel
nm1709264,8,6.08,1339412,Dave Callaham
nm0000175,24,6.07,1999068,Stephen King
nm2489193,6,6.07,1175272,Evan Daugherty
nm0795975,8,6.06,1356358,Joe Shuster
nm0601859,10,6.06,1827549,Scott Moore
nm0000108,33,6.05,2693333,Luc Besson
nm0004412,6,6.03,1007284,Ed Solomon
nm0472567,13,6.03,2085897,Ehren Kruger
nm0524190,11,6.02,1827654,Jon Lucas
nm0639321,5,6.0,1314535,Dan O'Bannon
nm0795953,5,6.0,1314535,Ronald Shusett
nm0587692,7,5.96,1200953,Miles Millar
nm0332184,7,5.96,1200953,Alfred Gough
nm1436466,5,5.94,1173180,Art Marcum
nm0391344,5,5.94,1173180,Matt Holloway
nm0563301,6,5.75,1180578,Craig Mazin
nm0926729,8,5.7,1058605,Marianne Wibberley
nm0926727,8,5.7,1058605,Cormac Wibberley
nm0236279,7,5.54,1055815,Arthur Conan Doyle
nm0742279,6,5.3,1420023,Melissa Rosenberg
nm2769412,6,5.2,1420887,Stephenie Meyer
