year,rank,distributor,major,original
2000,1,Universal Pictures,TRUE,adaptation
2000,2,Twentieth Century Fox,TRUE,original
2000,3,Paramount Pictures,TRUE,sequel
2000,4,DreamWorks Distribution,FALSE,original
2000,5,Paramount Pictures,TRUE,original
2000,6,Warner Bros.,TRUE,original
2000,7,Universal Pictures,TRUE,original
2000,8,Twentieth Century Fox,TRUE,adaptation
2000,9,Miramax,FALSE,original
2000,10,DreamWorks Distribution,FALSE,original
2000,11,Walt Disney Studios Motion Pictures,TRUE,original
2000,12,Sony Pictures Classics,FALSE,original
2000,13,Universal Pictures,TRUE,adaptation
2000,14,Sony Pictures Releasing,TRUE,adaptation
2000,15,USA Films,FALSE,original
2000,16,Universal Pictures,TRUE,sequel
2000,17,Twentieth Century Fox,TRUE,original
2000,18,Walt Disney Studios Motion Pictures,TRUE,original
2000,19,Sony Pictures Releasing,TRUE,original
2000,20,DreamWorks Distribution,FALSE,original
2001,1,Warner Bros.,TRUE,adaptation
2001,2,New Line Cinema,FALSE,adaptation
2001,3,DreamWorks Distribution,FALSE,original
2001,4,Walt Disney Studios Motion Pictures,TRUE,original
2001,5,New Line Cinema,FALSE,sequel
2001,6,Universal Pictures,TRUE,sequel
2001,7,Walt Disney Studios Motion Pictures,TRUE,original
2001,8,Warner Bros.,TRUE,original
2001,9,Universal Pictures,TRUE,sequel
2001,10,Twentieth Century Fox,TRUE,remake
2001,11,Universal Pictures,TRUE,original
2001,12,Metro-Goldwyn-Mayer (MGM),FALSE,sequel
2001,13,Universal Pictures,TRUE,sequel
2001,14,Universal Pictures,TRUE,original
2001,15,Paramount Pictures,TRUE,adaptation
2001,16,Twentieth Century Fox,TRUE,sequel
2001,17,Miramax,FALSE,original
2001,18,Revolution Studios,FALSE,original
2001,19,Walt Disney Studios Motion Pictures,TRUE,adaptation
2001,20,Paramount Pictures,TRUE,adaptation
2002,1,Sony Pictures Releasing,TRUE,adaptation
2002,2,New Line Cinema,FALSE,sequel
2002,3,Twentieth Century Fox,TRUE,sequel
2002,4,Warner Bros.,TRUE,sequel
2002,5,IFC Films,FALSE,original
2002,6,Walt Disney Studios Motion Pictures,TRUE,original
2002,7,New Line Cinema,FALSE,sequel
2002,8,Sony Pictures Releasing,TRUE,sequel
2002,9,Twentieth Century Fox,TRUE,original
2002,10,Miramax,FALSE,adaptation
2002,11,DreamWorks Distribution,FALSE,original
2002,12,Metro-Goldwyn-Mayer (MGM),FALSE,sequel
2002,13,Warner Bros.,TRUE,adaptation
2002,14,Walt Disney Studios Motion Pictures,TRUE,original
2002,15,Revolution Studios,FALSE,original
2002,16,Walt Disney Studios Motion Pictures,TRUE,sequel
2002,17,Twentieth Century Fox,TRUE,original
2002,18,DreamWorks Distribution,FALSE,remake
2002,19,Walt Disney Studios Motion Pictures,TRUE,original
2002,20,Sony Pictures Releasing,TRUE,original
2003,1,New Line Cinema,FALSE,sequel
2003,2,Walt Disney Studios Motion Pictures,TRUE,original
2003,3,Walt Disney Studios Motion Pictures,TRUE,original
2003,4,Warner Bros.,TRUE,sequel
2003,5,Universal Pictures,TRUE,original
2003,6,Twentieth Century Fox,TRUE,sequel
2003,7,New Line Cinema,FALSE,original
2003,8,Warner Bros.,TRUE,sequel
2003,9,Warner Bros.,TRUE,sequel
2003,10,Twentieth Century Fox,TRUE,original
2003,11,Sony Pictures Releasing,TRUE,sequel
2003,12,Revolution Studios,FALSE,original
2003,13,Walt Disney Studios Motion Pictures,TRUE,original
2003,14,Universal Pictures,TRUE,adaptation
2003,15,Universal Pictures,TRUE,sequel
2003,16,Sony Pictures Releasing,TRUE,original
2003,17,Universal Pictures,TRUE,original
2003,18,Sony Pictures Releasing,TRUE,adaptation
2003,19,Dimension Films,FALSE,sequel
2003,20,Warner Bros.,TRUE,original
2004,1,DreamWorks Distribution,FALSE,sequel
2004,2,Sony Pictures Releasing,TRUE,sequel
2004,3,Newmarket Films,FALSE,original
2004,4,Universal Pictures,TRUE,sequel
2004,5,Walt Disney Studios Motion Pictures,TRUE,original
2004,6,Warner Bros.,TRUE,sequel
2004,7,Twentieth Century Fox,TRUE,sequel
2004,8,Universal Pictures,TRUE,sequel
2004,9,Walt Disney Studios Motion Pictures,TRUE,original
2004,10,Warner Bros.,TRUE,original
2004,11,DreamWorks Distribution,FALSE,original
2004,12,Twentieth Century Fox,TRUE,original
2004,13,Warner Bros.,TRUE,adaptation
2004,14,Warner Bros.,TRUE,sequel
2004,15,Sony Pictures Releasing,TRUE,original
2004,16,Universal Pictures,TRUE,original
2004,17,Lionsgate,FALSE,original
2004,18,Paramount Pictures,TRUE,original
2004,19,Twentieth Century Fox,TRUE,original
2004,20,Walt Disney Studios Motion Pictures,TRUE,original
2005,1,Twentieth Century Fox,TRUE,sequel
2005,2,Walt Disney Studios Motion Pictures,TRUE,adaptation
2005,3,Warner Bros.,TRUE,sequel
2005,4,Paramount Pictures,TRUE,adaptation
2005,5,Universal Pictures,TRUE,remake
2005,6,New Line Cinema,FALSE,original
2005,7,Warner Bros.,TRUE,adaptation
2005,8,Warner Bros.,TRUE,adaptation
2005,9,DreamWorks Distribution,FALSE,original
2005,10,Twentieth Century Fox,TRUE,original
2005,11,Sony Pictures Releasing,TRUE,original
2005,12,Paramount Pictures,TRUE,original
2005,13,Twentieth Century Fox,TRUE,adaptation
2005,14,Walt Disney Studios Motion Pictures,TRUE,original
2005,15,Twentieth Century Fox,TRUE,original
2005,16,Twentieth Century Fox,TRUE,original
2005,17,Walt Disney Studios Motion Pictures,TRUE,original
2005,18,Sony Pictures Releasing,TRUE,original
2005,19,Universal Pictures,TRUE,original
2005,20,Walt Disney Studios Motion Pictures,TRUE,original
2006,1,Walt Disney Studios Motion Pictures,TRUE,sequel
2006,2,Twentieth Century Fox,TRUE,original
2006,3,Walt Disney Studios Motion Pictures,TRUE,original
2006,4,Twentieth Century Fox,TRUE,sequel
2006,5,Sony Pictures Releasing,TRUE,adaptation
2006,6,Warner Bros.,TRUE,adaptation
2006,7,Warner Bros.,TRUE,original
