,Title,Year,Worldwide,Domestic
0,Mission: Impossible II,2000,546388108,215409889
1,Gladiator,2000,460583960,187705427
2,Cast Away,2000,429632142,233632142
3,What Women Want,2000,374111707,182811707
4,Dinosaur,2000,349822765,137748063
5,How the Grinch Stole Christmas,2000,345141403,260044825
6,Meet the Parents,2000,330444045,166244045
7,The Perfect Storm,2000,328718434,182618434
8,X-Men,2000,296339528,157299718
9,What Lies Beneath,2000,291420351,155464351
10,Scary Movie,2000,278019771,157019771
11,Charlie's Angels,2000,264105545,125305545
12,Erin Brockovich,2000,256271286,125595205
13,Unbreakable,2000,248118121,95011339
14,Gone in 60 Seconds,2000,237202299,101648571
15,Chicken Run,2000,224834564,106834564
16,Vertical Limit,2000,215663859,69243859
17,The Patriot,2000,215294342,113330342
18,"Crouching Tiger, Hidden Dragon",2000,213525736,128078872
19,Miss Congeniality,2000,212742720,106807667
20,Traffic,2000,207515725,124115725
21,Hollow Man,2000,190213455,73209340
22,102 Dalmatians,2000,183611771,66957026
23,Big Momma's House,2000,173959438,117559438
24,The Emperor's New Groove,2000,169327687,89302687
25,Nutty Professor II: The Klumps,2000,166339890,123309890
26,Scream 3,2000,161834276,89143175
27,Chocolat,2000,152699946,71509363
28,"Me, Myself & Irene",2000,149270999,90570999
29,The Beach,2000,144056873,39785027
30,Remember the Titans,2000,136706683,115654751
31,Pokémon the Movie 2000,2000,133949270,43758684
32,Space Cowboys,2000,128884132,90464773
33,U-571,2000,127666415,77122415
34,The Family Man,2000,124745083,75793305
35,Road Trip,2000,119754278,68540777
36,Coyote Ugly,2000,113916474,60786269
37,Final Destination,2000,112880294,53331147
38,The Exorcist 2000 Director's Cut,2000,112053066,39671011
39,Mission to Mars,2000,110983407,60883407
40,The Kid,2000,110317580,69691949
41,Billy Elliot,2000,109280263,21995263
42,Shaft,2000,107196498,70334258
43,The Whole Nine Yards,2000,106371651,57262492
44,The Cell,2000,104155843,61334059
45,Rugrats in Paris: The Movie,2000,103291131,76507756
46,Shanghai Noon,2000,99274467,56937502
47,The Tigger Movie,2000,96159800,45554533
48,The 6th Day,2000,96085477,34604280
49,Romeo Must Die,2000,91036760,55973336
50,Fantasia 2000,2000,90874570,60655420
51,Autumn in New York,2000,90726668,37761915
52,Bring It On,2000,90449929,68379000
53,Bedazzled,2000,90383208,37886980
54,Snatch,2000,83557872,30328156
55,Men of Honor,2000,82343495,48818921
56,Finding Forrester,2000,80049764,51804714
57,The Road to El Dorado,2000,76432727,50863742
58,"Dude, Where's My Car?",2000,73180723,46729800
59,"O Brother, Where Art Thou?",2000,71868327,45512588
60,Rules of Engagement,2000,71732303,61335230
61,Frequency,2000,68106245,45010278
62,Thirteen Days,2000,66579890,34592089
63,Proof of Life,2000,62761005,32598931
64,Snow Day,2000,62464731,60020107
65,28 Days,2000,62198945,37170488
66,Taxi 2,2000,60726164,626164
67,Keeping the Faith,2000,59945183,37047880
68,Next Friday,2000,59827328,57328603
69,The Flintstones in Viva Rock Vegas,2000,59468275,35268275
70,The Ninth Gate,2000,58401898,18661336
71,Little Nicky,2000,58292295,39464775
72,Pay It Forward,2000,55707411,33519628
73,Bounce,2000,53425292,36805288
74,Pitch Black,2000,53187659,39240659
75,Hanging Up,2000,51880044,36050230
76,The Skulls,2000,50802120,35046120
77,The Replacements,2000,50054511,44737059
78,Book of Shadows: Blair Witch 2,2000,47737094,26437094
79,Almost Famous,2000,47383689,32534850
80,The Watcher,2000,47267829,28946615
81,High Fidelity,2000,47126295,27287137
82,Dracula 2000,2000,47053625,33022767
83,The Gift,2000,44567606,12008642
84,Where the Heart Is,2000,40863718,33772838
85,Bless the Child,2000,40443010,29381494
86,The Art of War,2000,40400425,30208599
87,Dancer in the Dark,2000,40031879,4184036
88,The Legend of Bagger Vance,2000,39459427,30919168
89,Urban Legends: Final Cut,2000,38574362,21468807
90,The Original Kings of Comedy,2000,38182790,38182790
91,Titan A.E.,2000,36754634,22753426
92,Return to Me,2000,36609995,32722798
93,My Dog Skip,2000,35547761,34134641
94,The Adventures of Rocky & Bullwinkle,2000,35134820,26005820
95,American Psycho,2000,34266564,15070285
96,Dungeons & Dragons,2000,33978694,15391970
97,Red Planet,2000,33463969,17480890
98,Wonder Boys,2000,33426588,19393557
99,Reindeer Games,2000,32168970,23368995
100,Lost Souls,2000,31355910,16815253
101,Small Time Crooks,2000,29934477,17266359
102,Battlefield Earth,2000,29725663,21471685
103,Nurse Betty,2000,29360400,25170054
104,Boiler Room,2000,28780255,16970581
105,The Little Vampire,2000,27965865,13572400
106,Love & Basketball,2000,27728118,27459615
107,Cirque du Soleil: Journey of Man,2000,27538359,15627434
108,Center Stage,2000,26385941,17200925
109,Saving Grace,2000,26330482,12178602
110,Boys and Girls,2000,25850615,21799652
111,Down to You,2000,24419914,20069008
112,The Next Best Thing,2000,24362772,14990582
113,Dr. T & the Women,2000,22844291,13113041
114,The Contender,2000,22361811,17872723
115,Michael Jordan to the Max,2000,21268532,18650521
116,Best in Show,2000,20789556,18715392
117,Thomas and the Magic Railroad,2000,19748009,15933506
118,Get Carter,2000,19412993,14967182
119,Loser,2000,18404706,15618626
120,All the Pretty Horses,2000,18133495,15540353
121,Quills,2000,17989227,7065332
122,CyberWorld,2000,16653900,11253900
123,Digimon: The Movie,2000,16643191,9631153
124,The Dish,2000,16575074,2552992
125,Italian for Beginners,2000,16349568,4544753
126,Drowning Mona,2000,15906764,15506764
127,Highlander: Endgame,2000,15843608,12811858
128,Bait,2000,15471969,15325127
129,Supernova,2000,14828081,14230455
130,Malena,2000,14493284,3448233
131,I Dreamed of Africa,2000,14400327,6651522
132,What Planet Are You From?,2000,14145677,6291602
133,The Ladies Man,2000,13743212,13616610
134,Solarmax,2000,13400161,13400161
135,The Crew,2000,13105853,13023075
136,The Way of the Gun,2000,13069740,6055661
137,Godzilla 2000,2000,12924063,10037390
138,In the Mood for Love,2000,12854953,2738980
139,Gossip,2000,12591270,5108820
140,Ready to Rumble,2000,12452362,12394327
141,The Legend of Drunken Master,2000,11555430,11555430
142,You Can Count on Me,2000,11242521,9416804
143,Shadow of the Vampire,2000,11155214,8293784
144,Lucky Numbers,2000,10890222,10042516
145,Here on Earth,2000,10873148,10522168
146,Pollock,2000,10558970,8598593
147,Anatomie,2000,10501958,9660
148,The Virgin Suicides,2000,10409377,4906229
149,Woman on Top,2000,10194274,5020111
150,Whatever It Takes,2000,9902115,8745680
151,3 Strikes,2000,9832166,9832166
152,Bread and Tulips,2000,9719848,5318679
153,Ghost Dog: The Way of the Samurai,2000,9380473,3308029
154,State and Main,2000,9206279,6944471
155,Before Night Falls,2000,8527517,4242892
156,Butterfly,2000,7733894,2092682
157,Requiem for a Dream,2000,7390108,3635482
158,Where the Money Is,2000,7243669,5661798
159,Screwed,2000,7201701,7027345
160,The Widow of Saint-Pierre,2000,7193889,3193889
161,Croupier,2000,7075068,6201143
162,Duets,2000,6620242,4739023
163,East/West,2000,6031521,2321029
164,Black & White,2000,5541431,5277299
165,The In Crowd,2000,5280035,5280035
166,The House of Mirth,2000,5164404,3043284
167,Whipped,2000,4775009,4159986
168,Held Up,2000,4705631,4705631
169,The Tao of Steve,2000,4406030,4342203
170,Mohabbatein,2000,4279351,1070000
171,East Is East,2000,4177818,4177818
172,Bossa Nova,2000,4069261,1823297
173,Up at the Villa,2000,3740113,2933161
174,The Big Kahuna,2000,3728888,3165544
175,Price of Glory,2000,3548556,3440228
176,Gun Shy,2000,3221280,1638202
177,Beautiful,2000,3169930,3157348
178,Isn't She Great,2000,3003296,2962465
179,The Color of Paradise,2000,2724595,1817216
180,God's Army,2000,2637726,2637726
181,But I'm a Cheerleader,2000,2595216,2205627
182,Bamboozled,2000,2463650,2274979
183,Shower,2000,2150929,1157764
184,Left Luggage,2000,2111280,1069540
185,Blood Simple 2000 Re-release,2000,2068701,1701855
186,Hamlet,2000,2046433,1577287
187,The Broken Hearts Club: A Romantic Comedy,2000,2019121,1746585
188,Cecil B. DeMented,2000,1961544,1284646
189,The Life and Times of Hank Greenberg,2000,1712385,1712385
190,The Girl on the Bridge,2000,1708839,1708839
191,Rear Window 2000 Re-release,2000,1699210,1574607
192,Girlfight,2000,1666028,1565852
