,date,rank,title,daily,theaters,gross,days,distributor
0,2019-01-01,1,Aquaman,16377779,4125,215437603,12,Warner Bros.
1,2019-01-01,2,Mary Poppins Returns,8661334,4090,114591795,14,Walt Disney Studios Motion Pictures
2,2019-01-01,3,Bumblebee,7193973,3550,78620092,12,Paramount Pictures
3,2019-01-01,4,Spider-Man: Into the Spider-Verse,6185793,3813,114332238,19,Sony Pictures Releasing
4,2019-01-01,5,The Mule,4066149,2787,68786483,19,Warner Bros.
5,2019-01-01,6,Second Act,2434593,2607,25979535,12,STX Entertainment
6,2019-01-01,7,Ralph Breaks the Internet,2282094,2343,179898948,42,Walt Disney Studios Motion Pictures
7,2019-01-01,8,Vice,2208072,2442,21984239,8,Annapurna Pictures
8,2019-01-01,9,Holmes & Watson,2081183,2776,23330433,8,Sony Pictures Releasing
9,2019-01-01,10,The Grinch,1097420,2555,267377830,54,Universal Pictures
10,2019-01-01,11,Welcome to Marwen,787595,1911,9145490,12,Universal Pictures
11,2019-01-01,12,Mary Queen of Scots,783925,841,10510155,26,Focus Features
12,2019-01-01,13,The Favourite,774641,810,16663106,40,Fox Searchlight Pictures
13,2019-01-01,14,Bohemian Rhapsody,689372,881,190502505,61,Twentieth Century Fox
14,2019-01-01,15,Green Book,664845,621,32817851,47,Universal Pictures
15,2019-01-01,16,Simmba,610806,301,2721756,5,Reliance Big Pictures
16,2019-01-01,17,Creed II,488317,1068,112936837,42,Metro-Goldwyn-Mayer (MGM)
17,2019-01-01,18,Instant Family,358470,744,65203476,47,Paramount Pictures
18,2019-01-01,19,Mortal Engines,337460,2995,15231635,19,Universal Pictures
19,2019-01-01,20,Fantastic Beasts: The Crimes of Grindelwald,296067,515,157077926,47,Warner Bros.
20,2019-01-01,21,If Beale Street Could Talk,240714,65,2369918,19,Annapurna Pictures
21,2019-01-01,22,On the Basis of Sex,235171,33,1911793,8,Focus Features
22,2019-01-01,23,Ben Is Back,157653,158,2033357,26,Roadside Attractions
23,2019-01-01,24,A Star Is Born,147019,236,201304904,89,Warner Bros.
24,2019-01-01,25,The Nutcracker and the Four Realms,51012,218,54632781,61,Walt Disney Studios Motion Pictures
25,2019-01-01,26,Widows,45712,121,41949885,47,Twentieth Century Fox
26,2019-01-01,27,Free Solo,41108,59,11281680,96,National Geographic Entertainment
27,2019-01-01,28,Robin Hood,39307,189,30684320,42,Lionsgate
28,2019-01-01,29,Smallfoot,38215,184,83014836,96,Warner Bros.
